Sex,Activities,Internet,Relationship,Avg,Rank
Male,no,yes,Single,18,Excellent
Male,yes,yes,Single,17,Excellent
Male,yes,yes,In a relationship,16,Excellent
Male,yes,yes,Single,16,Excellent
Male,yes,yes,Single,18,Excellent
Male,yes,yes,Single,19,Excellent
Female,no,yes,Single,16,Excellent
Female,no,yes,Single,16,Excellent
Female,yes,yes,Single,17,Excellent
Male,yes,yes,In a relationship,17,Excellent
Male,yes,yes,Single,17,Excellent
Male,yes,yes,Single,17,Excellent
Male,yes,yes,Single,19,Excellent
Male,no,yes,Single,19,Excellent
Male,yes,yes,Single,18,Excellent
Female,yes,yes,Single,16,Excellent
Male,no,no,Single,16,Excellent
Female,yes,no,Single,17,Excellent
Male,no,yes,Single,16,Excellent
Female,no,yes,Single,18,Excellent
Female,yes,yes,Single,16,Excellent
Female,no,yes,Single,16,Excellent
Male,no,yes,Single,18,Excellent
Female,no,yes,In a relationship,18,Excellent
Male,yes,yes,Single,17,Excellent
Female,no,yes,Single,18,Excellent
Female,no,no,Single,18,Excellent
Male,no,yes,In a relationship,16,Excellent
Female,yes,yes,Single,17,Excellent
Male,yes,no,Single,18,Excellent
Female,no,yes,Single,16,Excellent
Male,no,yes,In a relationship,16,Excellent
Female,no,yes,Single,17,Excellent
Female,no,yes,Single,19,Excellent
