Sex,Activities,Internet,Relationship,Avg,Rank
Female,no,no,Single,6,Fail
Female,no,yes,Single,5,Fail
Female,no,yes,Single,8,Fail
Female,no,no,Single,9,Fail
Female,no,no,Single,6,Fail
Female,no,yes,Single,9,Fail
Female,yes,no,Single,9,Fail
Male,yes,yes,Single,5,Fail
Male,yes,yes,Single,9,Fail
Female,yes,yes,Single,9,Fail
Female,no,yes,Single,8,Fail
Female,yes,no,Single,7,Fail
Female,yes,yes,In a relationship,9,Fail
Male,no,yes,Single,9,Fail
Female,yes,yes,In a relationship,7,Fail
Female,yes,yes,Single,7,Fail
Female,yes,yes,In a relationship,9,Fail
Male,yes,yes,Single,9,Fail
Female,yes,yes,Single,9,Fail
Female,yes,yes,Single,9,Fail
Female,no,yes,Single,7,Fail
Female,no,yes,Single,8,Fail
Female,no,yes,In a relationship,6,Fail
Male,yes,yes,Single,9,Fail
Male,yes,yes,Single,9,Fail
Female,no,yes,Single,5,Fail
Female,no,yes,Single,6,Fail
Female,no,yes,In a relationship,8,Fail
Female,no,no,Single,7,Fail
Male,no,no,Single,7,Fail
Female,no,yes,In a relationship,7,Fail
Female,no,no,Single,6,Fail
Female,yes,yes,Single,9,Fail
Female,no,no,In a relationship,9,Fail
Female,no,yes,Single,8,Fail
Male,yes,yes,Single,6,Fail
Female,no,yes,Single,6,Fail
Female,no,yes,Single,8,Fail
Female,yes,yes,Single,9,Fail
Male,yes,yes,In a relationship,9,Fail
Male,yes,yes,Single,8,Fail
Female,no,yes,In a relationship,8,Fail
Female,yes,yes,In a relationship,9,Fail
Female,no,no,Single,8,Fail
Male,yes,yes,Single,4,Fail
Female,no,yes,In a relationship,4,Fail
Female,yes,yes,In a relationship,3,Fail
Male,no,no,In a relationship,3,Fail
Female,yes,yes,In a relationship,4,Fail
Male,no,no,Single,3,Fail
Female,yes,yes,In a relationship,1,Fail
Male,no,yes,Single,5,Fail
Male,yes,yes,Single,9,Fail
Male,no,yes,Single,2,Fail
Female,no,yes,Single,4,Fail
Male,no,yes,In a relationship,4,Fail
Male,no,yes,Single,9,Fail
Male,no,yes,In a relationship,4,Fail
Male,no,yes,In a relationship,2,Fail
Male,yes,no,Single,9,Fail
Female,yes,no,Single,9,Fail
Male,yes,yes,In a relationship,4,Fail
Male,no,yes,In a relationship,7,Fail
Male,yes,no,Single,2,Fail
Male,yes,no,In a relationship,7,Fail
Female,no,yes,Single,4,Fail
Male,yes,yes,Single,4,Fail
Female,yes,yes,In a relationship,5,Fail
Male,yes,yes,Single,9,Fail
Male,yes,yes,Single,6,Fail
Male,yes,yes,In a relationship,9,Fail
Male,yes,yes,Single,8,Fail
Female,yes,yes,In a relationship,9,Fail
Female,no,yes,In a relationship,8,Fail
Male,no,no,Single,9,Fail
Female,yes,yes,Single,8,Fail
Male,yes,yes,Single,8,Fail
Male,yes,yes,Single,9,Fail
Male,yes,yes,Single,9,Fail
Female,no,yes,Single,9,Fail
Female,yes,no,Single,9,Fail
Female,no,no,Single,9,Fail
Female,no,yes,Single,6,Fail
Female,no,yes,In a relationship,9,Fail
Female,no,yes,Single,7,Fail
Female,no,no,Single,9,Fail
Female,yes,yes,In a relationship,7,Fail
Female,yes,yes,Single,8,Fail
Male,yes,yes,Single,7,Fail
Female,no,no,Single,9,Fail
Female,no,yes,In a relationship,5,Fail
Male,no,yes,Single,7,Fail
Female,no,no,Single,7,Fail
Female,yes,yes,Single,6,Fail
Female,yes,no,In a relationship,4,Fail
Female,yes,yes,In a relationship,8,Fail
Male,yes,yes,In a relationship,9,Fail
Male,no,yes,Single,7,Fail
Male,no,yes,Single,5,Fail
Male,yes,yes,Single,2,Fail
Female,no,yes,In a relationship,2,Fail
Male,no,yes,In a relationship,7,Fail
Male,no,yes,In a relationship,4,Fail
Male,no,yes,Single,7,Fail
Male,no,yes,Single,9,Fail
Male,no,yes,Single,8,Fail
Male,yes,no,Single,8,Fail
Male,yes,yes,Single,8,Fail
Female,yes,yes,In a relationship,6,Fail
Male,no,yes,Single,8,Fail
Female,yes,no,Single,9,Fail
Female,yes,yes,In a relationship,6,Fail
Male,yes,yes,In a relationship,9,Fail
Female,no,yes,In a relationship,2,Fail
Female,yes,yes,Single,9,Fail
Female,no,yes,In a relationship,9,Fail
Male,yes,yes,Single,9,Fail
Female,yes,yes,In a relationship,8,Fail
Male,yes,yes,In a relationship,8,Fail
Female,yes,yes,Single,9,Fail
Female,yes,yes,Single,6,Fail
Female,no,yes,In a relationship,9,Fail
Male,no,yes,In a relationship,8,Fail
Female,yes,no,In a relationship,6,Fail
Female,yes,yes,Single,5,Fail
Female,yes,yes,In a relationship,9,Fail
Female,yes,yes,Single,9,Fail
Male,yes,yes,Single,8,Fail
Female,yes,yes,Single,2,Fail
Female,yes,yes,In a relationship,5,Fail
Female,yes,no,Single,6,Fail
Female,no,yes,In a relationship,5,Fail
Male,yes,yes,Single,7,Fail
Female,no,yes,In a relationship,6,Fail
Male,no,yes,Single,8,Fail
Male,no,yes,In a relationship,8,Fail
Male,no,yes,Single,8,Fail
Female,no,no,In a relationship,9,Fail
Female,no,yes,In a relationship,4,Fail
Female,yes,no,In a relationship,8,Fail
Female,yes,yes,Single,5,Fail
Female,no,yes,Single,9,Fail
Female,yes,yes,Single,9,Fail
Male,yes,yes,In a relationship,7,Fail
Male,no,no,Single,4,Fail
