Sex,Activities,Internet,Relationship,Avg,Rank
Female,yes,yes,In a relationship,15,Good
Male,yes,yes,Single,15,Good
Male,yes,yes,Single,15,Good
Male,yes,yes,Single,14,Good
Male,no,yes,In a relationship,15,Good
Female,no,yes,Single,14,Good
Female,yes,yes,Single,14,Good
Male,no,yes,Single,14,Good
Male,no,yes,Single,14,Good
Male,yes,yes,Single,15,Good
Male,yes,yes,Single,13,Good
Male,no,yes,Single,15,Good
Male,no,yes,Single,14,Good
Male,yes,yes,In a relationship,15,Good
Female,yes,no,Single,13,Good
Male,no,no,Single,15,Good
Female,no,yes,Single,13,Good
Female,yes,yes,Single,15,Good
Male,yes,no,Single,15,Good
Female,yes,yes,Single,15,Good
Male,yes,yes,In a relationship,13,Good
Male,no,yes,Single,14,Good
Male,yes,no,Single,13,Good
Male,yes,yes,Single,15,Good
Female,yes,yes,Single,14,Good
Male,yes,yes,Single,13,Good
Male,yes,yes,Single,14,Good
Female,yes,yes,Single,13,Good
Female,yes,yes,In a relationship,15,Good
Male,yes,yes,Single,15,Good
Male,yes,no,Single,13,Good
Male,yes,yes,Single,13,Good
Male,no,yes,Single,13,Good
Female,no,yes,Single,15,Good
Male,yes,yes,Single,15,Good
Female,yes,yes,In a relationship,13,Good
Male,yes,yes,Single,13,Good
Male,no,yes,Single,13,Good
Male,no,no,In a relationship,13,Good
Female,no,yes,Single,14,Good
Male,yes,no,In a relationship,13,Good
Male,no,no,Single,14,Good
Female,no,yes,In a relationship,15,Good
Female,no,yes,In a relationship,14,Good
Male,yes,yes,In a relationship,15,Good
Male,yes,yes,In a relationship,15,Good
Male,no,yes,Single,14,Good
Female,yes,yes,In a relationship,15,Good
Female,no,yes,Single,13,Good
Female,no,yes,Single,15,Good
Male,no,yes,Single,13,Good
Female,yes,yes,Single,13,Good
Female,yes,yes,Single,15,Good
Female,yes,yes,In a relationship,13,Good
Male,yes,yes,Single,13,Good
Male,yes,yes,In a relationship,13,Good
Male,no,yes,Single,14,Good
Female,yes,yes,Single,13,Good
Male,yes,yes,Single,14,Good
Female,yes,yes,In a relationship,14,Good
Male,yes,no,In a relationship,14,Good
Male,yes,yes,Single,14,Good
Male,yes,yes,Single,14,Good
Female,no,yes,Single,15,Good
Male,yes,yes,Single,14,Good
Female,no,yes,Single,14,Good
Female,no,yes,Single,14,Good
Male,yes,yes,In a relationship,14,Good
Female,yes,yes,Single,13,Good
Male,yes,no,In a relationship,13,Good
Female,no,yes,In a relationship,13,Good
Female,no,yes,In a relationship,14,Good
Female,no,yes,In a relationship,13,Good
Female,no,yes,Single,14,Good
Female,no,yes,Single,15,Good
Male,yes,yes,Single,15,Good
Female,no,yes,In a relationship,14,Good
Female,no,yes,In a relationship,13,Good
Female,no,yes,Single,15,Good
Female,no,no,Single,13,Good
Male,yes,yes,In a relationship,15,Good
Female,no,yes,In a relationship,13,Good
Female,yes,yes,In a relationship,14,Good
Male,no,yes,Single,13,Good
Female,yes,yes,Single,13,Good
Female,no,no,In a relationship,13,Good
Female,yes,yes,In a relationship,15,Good
Male,no,yes,In a relationship,13,Good
Male,yes,yes,In a relationship,13,Good
Female,no,yes,In a relationship,15,Good
Female,no,yes,In a relationship,15,Good
Male,yes,yes,Single,14,Good
Male,no,yes,Single,15,Good
