Sex,Activities,Internet,Relationship,Avg,Rank
Male,no,yes,Single,12,Medium
Female,yes,yes,Single,11,Medium
Male,no,yes,Single,10,Medium
Male,no,yes,Single,12,Medium
Male,yes,yes,Single,11,Medium
Male,yes,yes,In a relationship,11,Medium
Male,no,yes,Single,11,Medium
Male,yes,yes,Single,10,Medium
Female,yes,yes,Single,12,Medium
Male,no,yes,In a relationship,12,Medium
Female,yes,yes,Single,10,Medium
Female,no,yes,Single,11,Medium
Female,no,yes,Single,12,Medium
Male,no,no,Single,11,Medium
Female,no,yes,Single,10,Medium
Female,no,yes,Single,12,Medium
Female,yes,no,Single,11,Medium
Female,yes,yes,In a relationship,10,Medium
Female,yes,yes,In a relationship,10,Medium
Male,no,yes,Single,10,Medium
Female,yes,yes,Single,11,Medium
Male,yes,yes,Single,11,Medium
Female,no,yes,In a relationship,11,Medium
Male,yes,yes,In a relationship,11,Medium
Male,no,yes,Single,11,Medium
Female,yes,yes,Single,10,Medium
Male,yes,yes,Single,10,Medium
Female,yes,yes,Single,10,Medium
Male,yes,yes,Single,12,Medium
Female,no,no,Single,11,Medium
Male,yes,yes,In a relationship,12,Medium
Female,yes,yes,Single,12,Medium
Female,no,yes,In a relationship,12,Medium
Female,no,yes,Single,11,Medium
Female,yes,yes,Single,10,Medium
Female,no,yes,Single,10,Medium
Female,no,yes,Single,11,Medium
Female,yes,yes,In a relationship,10,Medium
Female,no,no,In a relationship,11,Medium
Male,no,yes,In a relationship,11,Medium
Male,no,yes,Single,10,Medium
Male,yes,no,Single,12,Medium
Male,no,yes,Single,10,Medium
Male,yes,yes,Single,11,Medium
Female,yes,yes,Single,10,Medium
Female,yes,yes,Single,12,Medium
Male,yes,yes,In a relationship,10,Medium
Male,yes,yes,In a relationship,12,Medium
Female,no,yes,Single,12,Medium
Male,yes,yes,In a relationship,12,Medium
Male,yes,yes,In a relationship,11,Medium
Female,no,yes,Single,12,Medium
Female,yes,yes,Single,10,Medium
Female,yes,yes,In a relationship,12,Medium
Male,no,yes,In a relationship,12,Medium
Female,yes,yes,Single,10,Medium
Male,no,yes,Single,12,Medium
Female,yes,yes,In a relationship,11,Medium
Male,yes,yes,Single,11,Medium
Male,yes,yes,In a relationship,10,Medium
Male,yes,yes,In a relationship,10,Medium
Female,no,yes,In a relationship,12,Medium
Female,yes,no,Single,12,Medium
Male,yes,yes,In a relationship,12,Medium
Male,no,yes,Single,11,Medium
Male,yes,yes,Single,12,Medium
Male,no,yes,Single,12,Medium
Male,no,yes,Single,11,Medium
Male,no,yes,Single,11,Medium
Male,yes,no,Single,12,Medium
Female,yes,yes,Single,11,Medium
Male,yes,yes,In a relationship,10,Medium
Female,no,no,Single,11,Medium
Female,no,yes,In a relationship,10,Medium
Female,no,yes,In a relationship,12,Medium
Male,yes,yes,Single,10,Medium
Male,no,yes,Single,10,Medium
Female,yes,no,Single,12,Medium
Female,no,yes,Single,10,Medium
Male,no,yes,Single,11,Medium
Female,no,yes,Single,12,Medium
Male,yes,yes,In a relationship,11,Medium
Female,no,yes,In a relationship,12,Medium
Male,no,yes,Single,12,Medium
Female,no,yes,In a relationship,11,Medium
Male,no,yes,Single,11,Medium
Female,yes,yes,Single,11,Medium
Male,no,yes,Single,12,Medium
Female,no,yes,In a relationship,11,Medium
Female,no,yes,In a relationship,12,Medium
Female,yes,yes,Single,11,Medium
Female,no,yes,Single,11,Medium
Female,no,no,In a relationship,10,Medium
Female,yes,yes,Single,11,Medium
Male,yes,yes,Single,11,Medium
Male,no,yes,Single,10,Medium
Female,no,yes,Single,10,Medium
Female,yes,yes,In a relationship,11,Medium
Female,no,yes,Single,10,Medium
Male,no,yes,In a relationship,10,Medium
Male,no,yes,Single,12,Medium
Male,yes,yes,In a relationship,12,Medium
Female,no,no,In a relationship,12,Medium
Male,no,yes,In a relationship,10,Medium
Male,yes,no,Single,12,Medium
Female,no,yes,In a relationship,11,Medium
Female,no,no,Single,12,Medium
Male,no,no,Single,10,Medium
Female,no,yes,In a relationship,10,Medium
Female,no,yes,In a relationship,12,Medium
Female,yes,no,In a relationship,12,Medium
Female,yes,yes,Single,10,Medium
Male,yes,yes,Single,11,Medium
Female,no,no,Single,10,Medium
Male,no,yes,Single,11,Medium
